match_id,period_id,timestamp,carrier_id,opponent_id,distance_m,approach_angle_deg,carrier_speed_mps,opponent_speed_mps,closing_speed_mps,second_nearest_dist_m,n_supporting_teammates,dist_to_sideline_m,dist_to_goal_line_m,distance_trend_1s_mps,closing_accel_mps2,opponent_heading_change_deg,third_nearest_dist_m,n_opponents_nearby_10m,seconds_since_prev_event,prev_event_was_pass,carrier_x,carrier_y,sync_error_suspect,label
J03WQQ,2,0:22:47.520000,DFL-OBJ-0028LZ,DFL-OBJ-J01KJ5,4.9632650543770085,18.209913181563987,8.71,28.43,8.451562314305502,12.795944670089819,0,11.55,85.13,7.391264479360813,4.113898422084718,4.040335811059997,22.44142820766985,1,1.474,1,32.63,22.45,False,0
J03WQQ,2,0:22:53,DFL-OBJ-0000F8,DFL-OBJ-002FZR,4.361146638213396,6.420037791035962,15.98,22.73,5.0833188469039925,10.84094553071825,2,30.15,59.15,5.5881900230922215,-2.614828741381263,7.034914781965649,14.22319935879407,1,1.789,0,-6.65,3.85,False,0
J03WQQ,2,0:23:08.800000,DFL-OBJ-002GMO,DFL-OBJ-0027QN,4.894006538614348,37.2410944469685,16.88,21.71,4.919465575107813,16.93704224473683,0,9.41,80.53999999999999,4.70416516228786,0.2612712404404349,9.549678063701824,25.28946420942919,1,1.622,1,-28.04,24.59,False,0
J03WQQ,2,0:23:11.240000,DFL-OBJ-002G5J,DFL-OBJ-J014L2,4.997479364639738,72.89091669666293,13.93,17.89,2.4064064538034424,13.441714920351496,0,2.370000000000001,59.93,2.711074325904291,-0.9599246957979424,6.8874742464819,16.0387561861885,1,4.062,1,-7.43,31.63,False,0
J03WQQ,2,0:23:14.160000,DFL-OBJ-002GNL,DFL-OBJ-J01L1F,2.3041918322917474,49.787550790444925,22.98,27.16,4.201949841856265,12.370080840479579,0,10.690000000000001,75.57,3.4278409659396085,2.919543047598202,2.4269862017157866,15.994164560864066,1,0.925,1,23.07,23.31,False,0
J03WQQ,2,0:23:30.200000,DFL-OBJ-0000F8,DFL-OBJ-0002EL,4.994847345014661,8.862892652322037,6.75,22.61,3.928898968107213,13.090931975990099,1,0.9399999999999977,53.53,3.932733514322318,0.767809701057881,5.746774862666141,18.17694418762406,1,1.076,1,-1.03,-33.06,False,0
J03WQQ,2,0:23:41.640000,DFL-OBJ-J01L1F,DFL-OBJ-J0157X,4.952019789944303,8.559333903233393,22.99,18.23,3.0592267387445893,6.362546659946785,2,11.8,28.68,3.002859216049438,0.22613610224280767,2.2207464625706206,8.380841246557532,3,2.964,1,23.82,22.2,False,0
J03WQQ,2,0:23:44.720000,DFL-OBJ-J01L1F,DFL-OBJ-002GNL,1.4940214188558358,51.381200136326726,27.13,25.7,-1.2039964557250082,5.626011020252274,0,13.530000000000001,8.119999999999997,0.23297018506121958,-3.8317037138785492,13.780671431357332,15.987948586357167,2,0.772,0,44.38,20.47,False,0
J03WQQ,2,0:23:46.320000,DFL-OBJ-0028LZ,DFL-OBJ-00008K,3.4083720454199242,85.66379464266882,4.9,17.79,2.651580794925513,9.541095324961386,1,29.83,102.92,3.985747239525376,-4.973626880888095,1.4871368226467412,10.592001699395635,2,2.372,0,50.42,4.17,False,0
J03WQQ,2,0:23:46.560000,DFL-OBJ-0028LZ,DFL-OBJ-00008K,3.5061659972111974,106.98977445242568,4.37,14.11,0.3948934078938804,8.186800351785793,1,30.009999999999998,102.65,2.6029501418059695,-8.30246864161576,3.135234261394301,10.763740056318715,2,0.107,1,50.15,3.99,False,0
J03WQQ,2,0:23:47.040000,DFL-OBJ-J0157X,DFL-OBJ-00008K,1.7947144619688105,135.3601353710501,8.12,6.42,1.7806395526552103,8.34563958004418,3,25.75,100.57,4.631995427235775,-9.925960247454771,1.2193863003704166,8.961305708433342,3,0.587,1,48.07,8.25,False,0
